length_mm,target_coherence,overlap_phase_deg
12.2,0.08815517200860862,121.32060569584476
12.25,0.08616867779130923,121.63014332855211
12.3,0.08421090813526284,122.01473333326653
12.35,0.0822865832942416,122.47899506194248
12.4,0.08040089140124608,123.02765942558169
12.45,0.07855952006449013,123.66550584792382
12.5,0.07676868478192712,124.39727767893498
12.55,0.07503515191035792,125.22757218386295
12.6,0.07336625331342053,126.16070141287298
12.65,0.07176988916039571,127.20052095759641
12.7,0.07025451471486181,128.35022503091614
12.75,0.06882910643551512,129.61210869233395
12.8,0.06750310245001433,130.987301572536
12.85,0.06628631263640002,132.47548219875344
12.9,0.06518879436146632,134.07458783160237
12.95,0.0642206915788552,135.78054108992322
13.0,0.06339203761295836,137.58702061541547
13.05,0.06271252553591516,139.48530722099792
13.1,0.06219125434913933,141.464237702678
13.15,0.061836463698240765,143.5102942007049
13.2,0.0616552738137734,145.60784676382852
13.25,0.06165344987271898,147.7395509569124
13.3,0.06183521018901747,149.88688294514876
13.35,0.06220309508702652,152.0307749663134
13.4,0.06275790808414039,154.15229866093333
13.45,0.06349873384650613,156.23333604673692
13.5,0.06442302952425594,158.2571799265874
13.55,0.06552677893488146,160.20901669983024
13.6,0.06680469384649164,162.07626214401583
13.65,0.06825044400080343,163.84874069872095
13.7,0.06985689756330565,165.5187170802897
13.75,0.0716163559122224,167.08080275305312
13.8,0.07352077028476721,168.53176756871824
13.85,0.07556193193962853,169.87028898111757
13.9,0.07773163146147108,171.0966689013129
13.95,0.08002178616134509,172.21254315174252
14.0,0.08242453700158464,173.22060220040476
14.05,0.0849323180805357,174.1243356279898
14.1,0.08753790256422767,174.927807363179
14.15,0.0902344292205895,175.6354644629863
14.2,0.09301541357713838,176.25197916505354
14.25,0.09587474734344545,176.78212196644301
14.3,0.09880668923863438,177.23066237620867
14.35,0.10180584982890825,177.60229351958048
14.4,0.10486717246614766,177.90157673570639
14.45,0.10798591195710898,178.13290254357005
14.5,0.1111576121973159,178.30046472905465
14.55,0.11437808367684,178.40824474478552
14.6,0.11764338150260367,178.46000405818847
14.65,0.12094978437610264,178.4592824994973
14.7,0.12429377480773841,178.40940103337485
14.75,0.12767202073067857,178.31346769886642
14.8,0.13108135859035178,178.1743857325708
14.85,0.1345187779235098,177.99486311271804
14.9,0.13798140739757705,177.7774229426751
14.95,0.14146650225207807,177.52441423713114
15.0,0.14497143306567079,177.23802278872864
15.05,0.14849367576179087,176.92028188248312
15.1,0.152030802760993,176.5730826947346
15.15,0.15558047518704515,176.1981842665502
15.2,0.15914043603546021,175.79722298182176
15.25,0.16270850421654207,175.37172151051425
15.3,0.1662825693894423,174.92309719983345
15.35,0.16986058750880947,174.45266991228084
15.4,0.17344057701087254,173.96166932107093
15.45,0.1770206155711665,173.45124168130434
15.5,0.18059883737129342,172.9224561005068
15.55,0.18417343081711535,172.37631033532645
15.6,0.18774263665548233,171.813736142873
15.65,0.19130474644102047,171.23560421576803
15.7,0.19485810130859202,170.64272872978987
15.75,0.1984010910108649,170.03587153224726
15.8,0.20193215318390584,169.41574599811554
15.85,0.20544977280698312,168.78302057961383
15.9,0.20895248182571438,168.1383220734241
15.95,0.21243885891047584,167.48223862820345
16.0,0.21590752932453433,166.8153225134816
16.05,0.21935716487869583,166.13809266950202
16.1,0.2227864839514865,165.45103705607923
16.15,0.22619425155590356,164.75461481713285
16.2,0.22957927943565234,164.04925827621514
16.25,0.2329404261755814,163.33537477709777
16.3,0.236276597312684,162.6133483823091
16.35,0.23958674543556804,161.8835414414311
16.4,0.2428698702617669,161.14629603995715
16.45,0.24612501868364497,160.4019353385941
16.5,0.24935128477489227,159.65076481203585
16.55,0.25254780975087104,158.8930733954629
16.6,0.25571378187714217,158.1291345463056
16.65,0.25884843632160687,157.35920722816044
16.7,0.2619510549466539,156.58353682315413
16.75,0.2650209660386375,155.80235597850347
16.8,0.2680575439728634,155.01588539253012
16.85,0.27106020881304643,154.22433454493483
16.9,0.2740284258449233,153.42790237572456
16.95,0.2769617050443839,152.62677791681523
17.0,0.27985960048106195,151.82114087998784
17.05,0.2827217096589051,151.01116220456757
17.1,0.28554767279569115,150.19700456791293
17.15,0.2883371720439181,149.37882286154237
17.2,0.29108993065585764,148.5567646354932
17.25,0.29380571209588274,147.7309705132917
17.3,0.2964843191034653,146.90157457971964
17.35,0.29912559271045086,146.06870474338257
17.4,0.3017294112163982,145.2324830759252
17.45,0.3042956891259292,144.39302612958744
17.5,0.3068243760520786,143.55044523466367
17.55,0.30931545558975737,142.70484677829816
17.6,0.3117689441634005,141.85633246594284
17.65,0.31418488985289933,141.00499956669384
17.7,0.3165633712018653,140.15094114363328
17.75,0.31890449601219617,139.2942462702138
17.8,0.32120840012882945,138.43500023364274
17.85,0.32347524621846124,137.57328472615245
17.9,0.3257052225458592,136.7091780249753
17.95,0.3278985417512632,135.842755161779
18.0,0.3300554396321892,134.9740880822649
18.05,0.33217617393280874,134.1032457965762
18.1,0.3342610231438523,133.23029452111868
18.15,0.3363102853158193,132.35529781235113
18.2,0.3383242768880885,131.47831669306234
18.25,0.3403033315363076,130.599409771615
18.3,0.34224779904025454,129.71863335460236
18.35,0.34415804417415075,128.83604155333228
18.4,0.34603444562124325,127.95168638452331
18.45,0.3478773949142235,127.06561786557123
18.5,0.3496872954029298,126.17788410472123
18.55,0.35146456125052883,125.28853138645374
18.6,0.35320961645925114,124.39760425237634
18.65,0.3549228939265509,123.50514557788868
18.7,0.35660483453239505,122.6111966448754
18.75,0.3582558862582625,121.71579721065955
18.8,0.35987650333825116,120.81898557343655
18.85,0.3614671454425684,119.92079863439552
18.9,0.3630282768935497,119.02127195671608
18.95,0.36456036591423785,118.12043982162324
19.0,0.36606388390940287,117.21833528166636
19.05,0.3675393047788419,116.31499021137928
19.1,0.3689871042626482,115.41043535546868
19.15,0.3704077593180666,114.50470037466894
19.2,0.3718017475275054,113.59781388939125
19.25,0.3731695465371397,112.68980352129056
19.3,0.37451163352555605,111.78069593286071
19.35,0.3758284847017534,110.87051686516723
19.4,0.3771205748318341,109.95929117381667
19.45,0.3783883767936381,109.04704286325611
19.5,0.3796323611585349,108.13379511949283
19.55,0.3808529957995946,107.2195703413163
19.6,0.38205074552528867,106.30439017010016
19.65,0.3832260717378808,105.38827551825975
19.7,0.3843794321156674,104.47124659643184
19.75,0.38551128031814563,103.55332293944538
19.8,0.3866220657133025,102.6345234311412
19.85,0.38771223312608727,101.71486632810122
19.9,0.3887822226072233,100.79436928234085
19.95,0.38983246922148296,99.87304936301574
20.0,0.39086340285454313,98.95092307719366
20.05,0.39187544803760577,98.02800638973497
20.1,0.3928690237888942,97.10431474232638
20.15,0.39384454347123676,96.17986307170976
20.2,0.3948024146649062,95.25466582714236
20.25,0.3957430390549249,94.32873698712925
20.3,0.3966668123320648,93.40209007545776
20.35,0.3975741241067821,92.47473817657087
20.4,0.3984653578353478,91.5466939503082
20.45,0.39934089075747947,90.61796964604486
20.5,0.40020109384475117,89.68857711625681
20.55,0.40104633175914983,88.75852782953751
20.6,0.4018769628210995,87.82783288309194
20.65,0.40269333898635107,86.89650301473188
20.7,0.4034958058311177,85.96454861439418
20.75,0.4042847025449099,85.03197973520473
20.8,0.4050603619304685,84.09880610410616
20.85,0.4058231104103051,83.16503713207149
20.9,0.40657326803931965,82.23068192391895
20.95,0.40731114852299544,81.29574928774794
21.0,0.4080370592407358,80.36024774401093
21.05,0.408751301273852,79.42418553423784
21.1,0.4094541694378174,78.48757062942732
21.15,0.4101459523183548,77.55041073811951
21.2,0.4108269323109662,76.61271331416322
21.25,0.41149738566356137,75.67448556419177
21.3,0.4121575825218058,74.7357344548176
21.35,0.41280778697686976,73.79646671955862
21.4,0.4134482571152523,72.85668886550773
21.45,0.4140792450703936,71.9164071797548
21.5,0.4147009970757676,70.97562773557233
21.55,0.41531375351920485,70.03435639837379
21.6,0.41591774899817957,69.09259883145363
21.65,0.41651321237581634,68.15036050151829
21.7,0.4171003668373956,67.2076466840159
21.75,0.4176794299471227,66.26446246827314
21.8,0.4182506137049837,65.32081276244674
21.85,0.4188141246034629,64.37670229829557
21.9,0.41937016368395535,63.4321356357829
21.95,0.41991892659270097,62.48711716751261
22.0,0.42046060363607024,61.541651123007576
22.05,0.4209953798350489,60.59574157283473
22.1,0.42152343497877365,59.64939243258437
22.15,0.42204494367698725,58.702607466707626
22.2,0.42256007541126694,57.75539029221701
22.25,0.4230689945849303,56.80774438225775
22.3,0.4235718605714597,55.85967306955114
22.35,0.4240688277613786,54.91117954971731
22.4,0.42456004560744504,53.962266884480044
22.45,0.4250456586680748,53.01293800475842
22.5,0.4255258066488936,52.06319571365071
22.55,0.42600062444233866,51.11304268931037
22.6,0.426470242165207,50.16248148772352
22.65,0.4269347851940942,49.21151454538602
22.7,0.4273943741986147,48.26014418188656
22.75,0.42784912517235774,47.30837260239886
22.8,0.42829914946148717,46.35620190008478
22.85,0.42874455379093407,45.40363405841206
22.9,0.4291854402880973,44.450670953389555
22.95,0.42962190650400456,43.497314355722686
23.0,0.43005404543186493,42.543565932891504
23.05,0.4304819455229547,41.58942725115328
23.1,0.43090569069978374,40.63489977747389
23.15,0.4313253603664687,39.67998488138818
23.2,0.4317410294162885,38.72468383679213
23.25,0.4321527682363386,37.768997823669736
23.3,0.4325606427092487,36.812927929755595
23.35,0.4329647142119057,35.856475152136014
23.4,0.4333650396111374,34.89964039878897
23.45,0.433761671256296,33.942424490066614
23.5,0.43415465696870453,32.984828160120536
23.55,0.4345440400279049,32.02685205827252
23.6,0.4349298591546739,31.068496750330592
23.65,0.4353121484907368,30.10976271985478
23.7,0.4356909375751632,29.150650369369398
23.75,0.43606625131735977,28.19116002152954
23.8,0.4364381099666447,27.231291920236583
23.85,0.43680652907834205,26.271046231708073
23.9,0.43717151947634536,25.310423045502468
23.95,0.43753308721212514,24.3494223754975
24.0,0.4378912335201053,23.388044160827654
24.05,0.43824595476938744,22.42628826677731
24.1,0.43859724241177617,21.464154485632797
24.15,0.4389450829260406,20.501642537494398
24.2,0.4392894577583986,19.538752071048055
24.25,0.43963034325916134,18.575482664299187
24.3,0.4399677106155008,17.611833825267492
24.35,0.44030152578031334,16.647804992644637
